SendRate(Mb/s),ReceiveRate(Mb/s),SendPackets,Send Loss,Recv Loss,RTT(ms),CWnd,OutstandingData,FlowWindow,Retrans,PktSndPeriod(us),SendACK,SendNAK,RecvACK,RecvNAK,EstimatedBandwidth(Mb/s),Retrans_Total, NAK_TotalSent,Total Send Loss,Total Recv Loss
29.348,0,2523,8308,0,207.133,9578,7413,8182,1812,223.415,0,0,12,17,271.398,286431,0,356943,0
63.6075,0,5480,0,0,208.669,3396,3750,8189,5480,115.429,0,0,44,0,3174.86,291911,0,356943,0
55.4149,0,4766,3750,0,209.332,2779,3401,8181,4766,85.7388,0,0,3,0,2135.17,296677,0,360693,0
46.2358,0,3973,3634,0,209.362,2779,2779,8191,3634,101,0,0,1,3,1872.07,300311,0,364327,0
67.3954,0,5796,4041,0,210.088,2513,2513,8191,3227,128,0,0,3,30,1263.37,303538,0,368368,0
65.8079,0,5652,3284,0,211.726,15682,4099,8149,3079,151,0,0,7,23,1251.66,306617,0,371652,0
57.5222,0,4941,8719,0,211.726,15682,8020,8149,1020,243,0,0,0,48,1251.66,307637,0,380371,0
43.6956,0,3752,0,0,216.365,6218,5066,8149,3752,221.423,0,0,23,16,179.81,311389,0,380371,0
48.5242,0,4173,0,0,218.356,4939,4939,8187,4122,216.158,0,0,3,0,130.527,315511,0,380371,0
65.5619,0,5634,5768,0,213.104,3436,3436,8148,1735,269,0,0,13,36,952.457,317246,0,386139,0
26.0429,0,2237,3547,0,210.649,1910,2084,8183,2237,264.028,0,0,9,5,337.105,319483,0,389686,0
50.2006,0,4314,0,0,207.518,8345,1209,8141,1015,162.241,0,0,60,0,987.145,320498,0,389686,0
52.9594,0,4551,324,0,207.445,25472,5028,8093,324,278,0,0,8,26,2244.44,320822,0,390010,0
64.212,0,5520,6074,0,207.93,9758,2424,8022,1352,135,0,0,31,29,816.245,322174,0,396084,0
54.3103,0,4675,6689,0,208.505,8631,5736,8163,1335,277,0,0,1,63,718.321,323509,0,402773,0
43.1106,0,3703,0,0,206.362,874,2466,7756,3703,248.626,0,0,42,0,504.009,327212,0,402773,0
63.0955,0,5421,904,0,207.646,4445,3178,8185,926,223,0,0,34,46,458.896,328138,0,403677,0
36.3364,0,3125,4470,0,208.911,3267,3091,7772,1858,248.505,0,0,6,6,276.663,329996,0,408147,0
79.3737,0,6817,63,0,208.064,10056,3520,8188,1030,51,0,0,56,3,2561.79,331026,0,408210,0
119.621,0,10288,5617,0,208.064,10056,8191,8191,5617,138,0,0,0,107,2561.79,336643,0,413827,0
61.6147,0,5294,8191,0,208.42,19727,7829,8191,5294,127.447,0,0,8,0,897.956,341937,0,422018,0
41.0422,0,3527,8300,0,208.42,19727,8191,8191,3165,232,0,0,0,6,897.956,345102,0,430318,0
52.3621,0,4501,0,0,208.112,9120,4215,7785,4501,184.311,0,0,49,0,2619.79,349603,0,430318,0
67.121,0,5769,4581,0,210.237,5061,4294,7904,4762,207,0,0,9,14,1665.08,354365,0,434899,0
44.3225,0,3811,43,0,210.419,4507,4507,7986,3393,258,0,0,1,5,1460.57,357758,0,434942,0
32.3048,0,2777,4507,0,211.522,3242,753,7601,2024,233.865,0,0,5,0,2324.87,359782,0,439449,0
38.8877,0,3355,21,0,231.173,856,882,8186,21,436,0,0,48,12,267.135,359803,0,439470,0
